Date & Year,Stadium,Match format,Country,Bowler name,Bowling Hand,Over number,Bowler type,Delivery type,Speed of delivery,Shot played,Runs/W
2019-08-14 00:00:00,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,2.6,Fast,Straight Seam,132 km/h,Forward Defence,0
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,3.2,Fast,Bouncer,135 km/h,Back Foot Defence,1
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,3.4,Fast,Straight Seam,130 km/h,Square Drive,4
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,3.5,Fast,Straight Seam,128 km/h,On Drive,0
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,3.6,Fast,Straight Seam,135 km/h,Paddle Sweep,0
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,4.2,Fast,Yorker,140 km/h,Off Drive,2
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,4.3,Fast,Yorker,135 km/h,Forward Defence,0
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,4.4,Fast,Yorker,138 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,4.6,Fast,Straight Seam,142 km/h,Sweep,1
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,5.1,Fast,Yorker,135 km/h,Back Foot Defence,0
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,5.3,Fast,Straight Seam,132 km/h,On Drive,2
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,5.4,Fast,Straight Seam,130 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,5.6,Fast,Yorker,138 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,6.1,Fast,Yorker,137 km/h,Straight Drive,4
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,6.2,Fast,Straight Seam,135 km/h,Cover Drive,1
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,6.5,Fast,Slower Ball,138 km/h,Off Drive,4
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,6.6,Fast,Straight Seam,140 km/h,Forward Defence,0
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,7.3,Fast,Slower Ball,128 km/h,Cover Drive,0
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,7.4,Fast,Slower Ball,130 km/h,Pull Shot,1
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,8.1,Spin,Yorker,88 km/h,Cover Drive,1
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,8.4,Spin,Straight Seam,85 km/h,Cover Drive,0
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,8.5,Spin,Bouncer,88 km/h,Pull Shot,4
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,8.6,Spin,Yorker,91 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,9.1,Fast,Straight Seam,137 km/h,Sweep,1
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,9.4,Fast,Outswinger,135 km/h,Forward Defence,1
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,10.2,Spin,Yorker,88 km/h,Forward Defence,1
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,10.4,Spin,Off Spin,85 km/h,On Drive,2
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,10.5,Spin,Straight Seam,88 km/h,Cover Drive,0
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,10.6,Spin,Yorker,90 km/h,Forward Defence,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,11.1,Spin,Straight Seam,88 km/h,Cover Drive,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,11.2,Spin,Outswinger,85 km/h,Pull Shot,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,11.6,Spin,Straight Seam,88 km/h,Cover Drive,0
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,12.3,Spin,Straight Seam,85 km/h,Cover Drive,1
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,12.5,Spin,Outswinger,82 km/h,Forward Defence,0
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,12.6,Spin,Straight Seam,90 km/h,Cover Drive,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,13.1,Spin,Straight Seam,88 km/h,Pull Shot,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,13.4,Spin,Yorker,83 km/h,Paddle Sweep,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,13.6,Spin,Off Spin,88 km/h,Sweep,0
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,14.5,Spin,Off Spin,85 km/h,Cover Drive,0
2019,Port of Spain,ODI,West Indies,Anthony Allen,Left-arm,14.6,Spin,Outswinger,88 km/h,Pull Shot,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,15.2,Spin,Straight Seam,90 km/h,Sweep,2
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,15.3,Spin,Straight Seam,88 km/h,On Drive,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,15.4,Spin,Off Spin,85 km/h,Forward Defence,1
2019,Port of Spain,ODI,West Indies,Anthony Allen,Leftt-arm,16.4,Spin,Yorker,86 km/h,Off Drive,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,17.1,Spin,Yorker,85 km/h,Pull Shot,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,17.3,Spin,Outswinger,88 km/h,Pull Shot,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,17.4,Spin,Yorker,90 km/h,Pull Shot,4
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,17.5,Spin,Off Spin,88 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Anthony Allen,Leftt-arm,18.1,Spin,Off Spin,85 km/h,Off Drive,0
2019,Port of Spain,ODI,West Indies,Anthony Allen,Leftt-arm,18.2,Spin,Yorker,88 km/h,Forward Defence,0
2019,Port of Spain,ODI,West Indies,Anthony Allen,Leftt-arm,18.3,Spin,Straight Seam,85 km/h,Cover Drive,2
2019,Port of Spain,ODI,West Indies,Anthony Allen,Leftt-arm,18.5,Spin,Outswinger,88 km/h,Cover Drive,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,19.1,Spin,Off Spin,90 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,19.5,Spin,Yorker,88 km/h,Pull Shot,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,19.6,Spin,Yorker,85 km/h,Pull Shot,1
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,20.1,Spin,Straight Seam,75 km/h,Sweep,1
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,20.3,Spin,Outswinger,82 km/h,Paddle Sweep,0
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,20.4,Spin,Outswinger,80 km/h,Paddle Sweep,0
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,20.5,Spin,Off Spin,72 km/h,Pull Shot,1
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,21.1,Fast,Bouncer,145 km/h,Off Drive,0
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,21.2,Fast,Straight Seam,135 km/h,Cover Drive,2
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,21.3,Fast,Outswinger,132 km/h,Forward Defence,1
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,21.5,Fast,Straight Seam,138 km/h,Paddle Sweep,4
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,21.6,Fast,Straight Seam,130 km/h,Pull Shot,4
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,22.2,Spin,Straight Seam,88 km/h,Off Drive,0
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,22.3,Spin,Off Spin,80 km/h,Cover Drive,1
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,22.5,Spin,Off Spin,72 km/h,Cover Drive,1
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,23.1,Fast,Off Spin,138 km/h,Sweep,4
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,23.2,Fast,Straight Seam,135 km/h,Sweep,0
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,23.3,Fast,Outswinger,132 km/h,Sweep,1
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,23.5,Fast,Bouncer,130 km/h,Pull Shot,1
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,24.1,Spin,Outswinger,75 km/h,Pull Shot,2
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,24.2,Spin,Straight Seam,88 km/h,Cover Drive,1
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,24.4,Spin,Outswinger,82 km/h,Off Drive,1
2019,Port of Spain,ODI,West Indies,Kraigg Brathwaite,Right-arm,24.6,Spin,Outswinger,74 km/h,Cover Drive,4
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,25.3,Fast,Straight Seam,126 km/h,Cover Drive,0
2019,Port of Spain,ODI,West Indies,Keemo Paul,Right-arm,25.4,Fast,Outswinger,138 km/h,Forward Defence,1
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,26.2,Fast,Bouncer,130 km/h,Paddle Sweep,0
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,26.3,Fast,Straight Seam,135 km/h,Off Drive,1
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,26.5,Fast,Straight Seam,135 km/h,Pull Shot,0
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,26.6,Fast,Bouncer,138 km/h,Paddle Sweep,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,27.1,Spin,Straight Seam,85 km/h,Forward Defence,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,27.2,Spin,Yorker,88 km/h,Forward Defence,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,27.3,Spin,Yorker,90 km/h,Sweep,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,27.4,Spin,Straight Seam,88 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,28.1,Fast,Straight Seam,128 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,28.3,Fast,Slower Ball,130 km/h,Pull Shot,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,29.2,Spin,Googly,90 km/h,On Drive,1
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,29.5,Spin,Yorker,88 km/h,Forward Defence,0
2019,Port of Spain,ODI,West Indies,Roston Chase,Right-arm,29.6,Spin,Topspin ,85 km/h,Back Foot Defence,0
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,30.2,Fast,Bouncer,137 km/h,Cover Drive,4
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,30.3,Fast,Yorker,135 km/h,Sweep,0
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,30.4,Fast,Straight Seam,135 km/h,Straight Drive,4
2019,Port of Spain,ODI,West Indies,Kemar Roach,Right-arm,30.5,Fast,Yorker,138 km/h,Back Foot Defence,1
2019,Port of Spain,ODI,West Indies,Jason Holder,Right-arm,31.1,Fast,Yorker,135 km/h,Pull Shot,4
