Date & Year,Stadium,Match format,Country,Bowler name,Bowling Hand,Over number,Bowler type,Delivery type,Speed of delivery,Shot played,Runs/W,Unnamed: 12
"19 March, 2023",Visakhapatnam,ODI,Australia,Mitchel Starc,Left,0.4,Fast,Short Ball,,Flick,1,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,1.1,Fast,Outswinger,,Square Drive,1,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,1.6,Fast,Outswinger,135.6,Cover Drive,4,
,Visakhapatnam,ODI,Australia,Mitchel Starc,Left,2.2,Fast,Outswinger,142.2,Straight Drive,4,
,Visakhapatnam,ODI,Australia,Mitchel Starc,Left,2.3,Fast,Full Ball,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Mitchel Starc,Left,2.5,Fast,Outswinger,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Mitchel Starc,Left,2.6,Fast,Full Ball,,Flick,4,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,3.2,Fast,Outswinger,,Square Drive,1,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,3.5,Fast,Bouncer,,Pull Shot,0,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,3.6,Fast,Straight Seam,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,5.1,Fast,Outswinger,,Flick,0,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,5.2,Fast,Full Ball,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,5.3,Fast,Full Ball,,Flick,2,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,5.4,Fast,Full Ball,,Font Foot Defence,0,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,5.5,Fast,Yorker,,Font Foot Defence,0,
,Visakhapatnam,ODI,Australia,Cameron Green,Right,5.6,Fast,Outswinger,,Flick,0,
,Visakhapatnam,ODI,Australia,Mitchel Starc,Left,6.4,Fast,Outswinger,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Mitchel Starc,Left,6.5,Fast,Full Ball,,Flick,1,
,Visakhapatnam,ODI,Australia,Sean Abbott,Right,7.1,Fast,Straight Seam,,Off Drive,2,
