Date & Year,Stadium,Match format,Country,Bowler name,Bowling Hand,Over number,Bowler type,Delivery type,Speed of delivery,Shot played,Runs/W,Unnamed: 12,Unnamed: 13,Unnamed: 14
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,2.1,Fast,Outswinger,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,2.2,Fast,Short Ball,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,2.3,Fast,Full Ball,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,2.4,Fast,Full Ball,,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,2.5,Fast,Good Length,,Cover Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,2.6,Fast,Full Ball,,Flick,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,3.3,Fast,Full Ball,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,4.1,Fast,Full Ball,,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,4.2,Fast,Back of Length,,Back Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,4.3,Fast,Inswinger,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,4.4,Fast,Short Ball,,Pull Shot,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,4.5,Fast,Back of Length,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,4.6,Fast,Short Ball,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,5.2,Fast,Inswinger,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,5.3,Fast,Full Ball,,Flick,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,5.4,Fast,Good Length,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,5.5,Fast,Back of Length,,Back Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,5.6,Fast,Good Length,,Back Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,6.4,Fast,Good Length,,Cover Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,6.5,Fast,Good Length,,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,6.6,Fast,Good Length,,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,7.2,Fast,Full Ball,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,7.3,Fast,Full Ball,,Cover Drive,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,7.4,Fast,Good Length,,Back Foot Defence,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,8.1,Fast,Good Length,,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,8.2,Fast,Full Ball,,Off Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,8.3,Fast,Short Ball,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,8.4,Fast,Yorker,,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,8.5,Fast,Bouncer,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,9.1,Fast,Full Ball,134.0,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,9.2,Fast,Good Length,136.0,Square Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,9.3,Fast,Full Ball,,Flick,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,9.4,Fast,Full Ball,,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,9.5,Fast,Good Length,138.0,On Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,9.6,Fast,Back of Length,137.0,Flick,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,10.2,Fast,Full ball,129.0,Back Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,10.3,Fast,Full ball,126.0,Off Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,11.1,Fast,Full ball,,Flick,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,11.2,Fast,Short Ball,,Back Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,11.3,Fast,Full ball,142.0,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,11.6,Fast,Full ball,141.0,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,12.1,Fast,Full ball,13.0,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,12.3,Fast,Good length,128.0,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,12.3,Fast,Short Ball,127.0,Paddle Sweep,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,13.1,Fast,Full ball,139.0,Front Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,13.2,Fast,Good length,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,14.4,Fast,Slower,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,14.6,Fast,Short Ball,,Pull Shot,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,15.1,Fast,Full ball,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,15.3,Fast,Short Ball,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,17.1,Fast,Short Ball,,Off Drive,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,17.2,Fast,Slower,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,17.4,Fast,Short Ball,,Front Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,17.5,Fast,Slower,,Cover Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,18.2,Spin,Off spin,,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,18.5,Spin,Off spin,,Cover Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,18.6,Spin,Off spin,,Front Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,19.3,Fast,Short Ball,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,19.5,Fast,Short Ball,,Square Drive,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Lungi Ngidi,Right,19.6,Fast,Slower,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,20.1,Spin,Off spin,,Back Foot Defence,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,20.3,Spin,Good length,,Cover Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,20.6,Spin,Off spin,,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,21.1,Spin,Full ball,,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,21.3,Spin,Good length,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,21.4,Spin,Off spin,,Off Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,21.5,Spin,Short Ball,,Square Drive,3,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,22.1,Spin,Off spin,,On Drive,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,22.2,Spin,Googly,,Paddle Sweep,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,22.5,Spin,Good length,,Off Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,23.3,Spin,Off spin,,On Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,23.5,Spin,Good length,,Back Foot Defence,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,24.2,Spin,Off spin,,Cover Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,24.4,Spin,Good length,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,24.5,Spin,Full ball,,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,25.2,Spin,Full ball,,Cover Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,25.4,Spin,Full ball,,On Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,25.5,Spin,Good length,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,25.6,Spin,Short Ball,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,26.1,Spin,Good length,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,26.2,Spin,Off spin,,Off Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,26.4,Spin,Full ball,,On Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,26.6,Spin,Good length,,Cover Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,27.2,Spin,Off spin,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,27.5,Spin,Full ball,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,28.1,Fast,Short Ball,,Back Foot Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,28.2,Fast,Short Ball,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,28.5,Fast,Good length,,Forward Defence,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,28.6,Fast,Short Ball,,Pull Shot,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,29.1,Spin,Full ball,,Straight Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,29.2,Spin,Good length,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,29.4,Spin,Good length,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,30.2,Fast,Short Ball,,Pull Shot,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,30.3,Fast,Short Ball,,Pull Shot,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,30.4,Fast,Good length,,Square Drive,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,30.5,Fast,Full ball,,Cover Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,31.1,Spin,Short Ball,,Square Drive,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,31.2,Spin,Off spin,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,31.6,Spin,Good length,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,32.2,Fast,Good length,,Cover Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,33.1,Spin,Off spin,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,33.2,Spin,Full ball,,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,33.6,Spin,Off spin,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,34.1,Fast,Short Ball,,Pull Shot,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,34.2,Fast,Short Ball,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,34.4,Fast,Short Ball,,Pull Shot,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,34.5,Fast,Slower,,Leave,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,34.6,Fast,Good length,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,35.1,Spin,Full ball,,On Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,35.3,Spin,Full ball,,Off Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,35.6,Spin,Full ball,,Flick,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,36.5,Fast,Slower,127.0,Back Foot Defence,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,37.1,Spin,Full ball,,Square Drive,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,37.2,Spin,Off spin,,Off Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,37.4,Spin,Off spin,,On Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,38.1,Spin,Short Ball,,Square Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,38.2,Spin,Short Ball,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,38.4,Spin,Off spin,81.0,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,39.1,Spin,Short Ball,,Flick,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,39.2,Spin,Full ball,,Cover Drive,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,39.3,Spin,Full toss,,Flick,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,39.4,Spin,Full ball,,On Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,JP Duminy,Right,39.5,Spin,Good length,81.0,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,40.1,Fast,Full ball,,Off Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,40.3,Fast,Slower,,Cover Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,40.4,Fast,Good length,,Flick,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,40.5,Fast,Slower,,Square Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,40.6,Fast,Slower,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,41.1,Spin,Short Ball,,Square Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,41.2,Spin,Short Ball,82.0,Pull Shot,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,41.5,Spin,Short Ball,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,42.1,Fast,Good length,,Cover Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,42.2,Fast,Slower,,Square Drive,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,42.3,Fast,Full ball,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,43.1,Spin,Short Ball,82.0,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,43.3,Spin,Off spin,,Sweep,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Imran Tahir,Right,43.4,Spin,Off spin,81.0,Cover Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,44.1,Fast,Slower,131.0,Pull Shot,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,44.3,Fast,Slower,104.0,Off Drive,4,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,44.4,Fast,Full ball,,Square Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Andile Phehlukwayo,Right,44.6,Fast,Full ball,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,45.1,Fast,Good length,,Flick,2,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,45.2,Fast,Full ball,142.0,Cover Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,45.3,Fast,Short Ball,,Pull Shot,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,45.6,Fast,Good length,139.0,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,46.1,Fast,Yorker,,Cover Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,46.3,Fast,Short Ball,134.0,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,46.5,Fast,Full toss,,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,47.1,Fast,Full toss,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,47.3,Fast,Short Ball,,Square Drive,0,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,47.4,Fast,Full toss,,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,47.6,Fast,Full toss,,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,48.1,Fast,Full toss,139.0,Straight Drive,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,48.3,Fast,Short Ball,,Flick,6,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,48.4,Fast,Full ball,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Chris Morris,Right,48.6,Fast,Full toss,,Flick,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,49.1,Fast,Slower,,Pull Shot,1,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,49.5,Fast,Short Ball,,Pull Shot,6,,,
"7 Feb, 2018",Cape Town,ODI,South Africa,Kagiso Rabada,Right,49.6,Fast,Full ball,,Straight Drive,4,,160/159*,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,5.1,Fast,Full ball,,Flick,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,5.5,Fast,Full ball,,Leave,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,5.6,Fast,Full ball,,Front Foot Defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Morne Morkel,Right,6.5,Fast,Back of length,,Back Foot Defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Morne Morkel,Right,6.6,Fast,Full ball,,Leave,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,7.2,Fast,Back of length,141.0,Square Drive,4,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,7.3,Fast,Full ball,,Front Foot Defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,7.4,Fast,Full ball,,Flick,4,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,7.5,Fast,Full ball,,Straight Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,7.6,Fast,Full ball,,Straight Drive,2,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Morne Morkel,Right,8.2,Fast,Full ball,,Straight Drive,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Morne Morkel,Right,8.4,Fast,Good length,,Leave,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Morne Morkel,Right,8.5,Fast,Good length,,Flick,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Morne Morkel,Right,8.6,Fast,Back of length,,Back Foot Defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,9.2,Fast,Good length,,Leave,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,9.3,Fast,Back of length,,Back Foot Defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,9.4,Fast,Good length,,Back Foot Defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,9.5,Fast,Good length,,Flick,2,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Kagiso Rabada,Right,9.6,Fast,Full ball,143.0,Straight Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,10.2,Fast,Back of length,138.0,Flick,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,10.3,Fast,Full ball,,Front Foot Defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,10.4,Fast,Full ball,,On Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,10.5,Fast,Full ball,,Straight Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,10.6,Fast,Good length,,Square Drive,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,11.1,Fast,Good length,135.0,Square Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,11.2,Fast,Good length,,On Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,11.3,Fast,Full ball,,Square Drive,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,12.1,Fast,Full ball,,Flick,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,12.2,Fast,Full ball,,Square Drive,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,12.4,Fast,Full ball,,On Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,12.5,Fast,Good length,,Square Drive,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,13.1,Fast,Back of length,,Square Drive,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,14.1,Fast,Back of length,,Flick,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,14.2,Fast,Full ball,,On Drive,4,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,14.3,Fast,Back of length,,Flick,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,14.5,Fast,Good length,,Square Drive,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,15.3,Fast,Full ball,,Flick,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,16.1,Fast,Good length,,Front foot defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,16.2,Fast,Full ball,,Square Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,16.3,Fast,Good length,,Straight Drive,6,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,16.4,Fast,Good length,,Flick,2,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,16.5,Fast,Short Ball,,Flick,1,,,
