SL No,Date & Year,Stadium,Match format,Country,Bowler name,Bowling Hand,Over number,Bowler type,Delivery type,Speed of delivery,Shot played,Runs/W,Total Runs,Total Balls Face
1.0,2011-10-25,"Eden Garden,India",ODI,England,Steven Finn,Right,17.2,Fast,Straight Seam,135.2,Back Foot Defence,0,0,1
,2011-10-26,"Eden Garden,India",ODI,England,Steven Finn,Right,17.3,Fast,Straight Seam,135.2,Back Foot Defence,0,0,2
,2011-10-27,"Eden Garden,India",ODI,England,Steven Finn,Right,17.4,Fast,Straight Seam,136.1,Forward Defence,0,0,3
,2011-10-28,"Eden Garden,India",ODI,England,Steven Finn,Right,17.5,Fast,Straight Seam,135.3,Off Drive,0,0,4
,2011-10-29,"Eden Garden,India",ODI,England,Steven Finn,Right,17.6,Fast,Straight Seam,137.5,Square Drive,W,0,5
2.0,2011-11-29,"Cuttack,India",ODI,West Indies,KAJ Roach,Right,4.5,Fast,Straight Seam,142.0,Forward Defence,0,0,1
,2011-11-29,"Cuttack,India",ODI,West Indies,KAJ Roach,Right,4.6,Fast,Straight Seam,141.5,Off Drive,0,0,2
,2011-11-29,"Cuttack,India",ODI,West Indies,AD Russell,Right,5.5,Fast,Straight Seam,141.9,On Drive,1,1,3
,2011-11-29,"Cuttack,India",ODI,West Indies,KAJ Roach,Right,6.1,Fast,Straight Seam,139.5,On Drive,2,3,4
,2011-11-29,"Cuttack,India",ODI,West Indies,KAJ Roach,Right,6.2,Fast,Straight Seam,138.9,Forward Defence,0,3,5
,2011-11-29,"Cuttack,India",ODI,West Indies,KAJ Roach,Right,6.3,Fast,Straight Seam,142.2,Forward Defence,W,3,6
3.0,2011-12-02,Vishakhapatnam,ODI,West Indies,Ravi Rampaul,Right,6.5,Fast,Yorker,140.6,Back Foot Defence,0,0,1
,2011-12-02,Vishakhapatnam,ODI,West Indies,Ravi Rampaul,Right,6.6,Fast,Straight Seam,141.1,Off Drive,0,0,2
,2011-12-02,Vishakhapatnam,ODI,West Indies,Kemar Roach,Right,7.4,Fast,Inswinger,139.5,Straight Drive,0,0,3
