Stadium,Match format,Bowling Hand,Over number,Bowler type,Delivery type,Bowler name,Runs/W
Eden Garden,ODI,Right,17.2,Fast,Straight Seam,Steven Finn,0
Eden Garden,ODI,Right,17.3,Fast,Straight Seam,Steven Finn,0
Eden Garden,ODI,Right,17.4,Fast,Straight Seam,Steven Finn,0
Eden Garden,ODI,Right,17.5,Fast,Straight Seam,Steven Finn,0
Eden Garden,ODI,Right,17.6,Fast,Straight Seam,Steven Finn,W
Cuttack,ODI,Right,4.5,Fast,Straight Seam,KAJ Roach,0
Cuttack,ODI,Right,4.6,Fast,Straight Seam,KAJ Roach,0
Cuttack,ODI,Right,5.5,Fast,Straight Seam,AD Russell,1
Cuttack,ODI,Right,6.1,Fast,Straight Seam,KAJ Roach,2
Cuttack,ODI,Right,6.2,Fast,Straight Seam,KAJ Roach,0
Cuttack,ODI,Right,6.3,Fast,Straight Seam,KAJ Roach,W
Vishakhapatnam,ODI,Right,6.5,Fast,Yorker,Ravi Rampaul,0
Vishakhapatnam,ODI,Right,6.6,Fast,Straight Seam,Ravi Rampaul,0
Vishakhapatnam,ODI,Right,7.4,Fast,Inswinger,Kemar Roach,0
Vishakhapatnam,ODI,Right,7.5,Fast,Inswinger,Kemar Roach,0
Vishakhapatnam,ODI,Right,7.6,Fast,Straight Seam,Kemar Roach,0
Vishakhapatnam,ODI,Right,8.2,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,8.3,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,8.4,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,8.5,Fast,Straight Seam,AD Russell,4
Vishakhapatnam,ODI,Right,8.6,Fast,Straight Seam,AD Russell,1
Vishakhapatnam,ODI,Right,9.1,Fast,Straight Seam,Kemar Roach,0
Vishakhapatnam,ODI,Right,9.2,Fast,Straight Seam,Kemar Roach,4
Vishakhapatnam,ODI,Right,9.3,Fast,Straight Seam,Kemar Roach,0
Vishakhapatnam,ODI,Right,9.4,Fast,Straight Seam,Kemar Roach,4
Vishakhapatnam,ODI,Right,9.5,Fast,Straight Seam,Kemar Roach,0
Vishakhapatnam,ODI,Right,9.6,Fast,Straight Seam,Kemar Roach,0
Vishakhapatnam,ODI,Right,10.2,Fast,Yorker,AD Russell,0
Vishakhapatnam,ODI,Right,10.3,Fast,Inswinger,AD Russell,0
Vishakhapatnam,ODI,Right,10.4,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,10.5,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,10.6,Fast,Inswinger,AD Russell,1
Vishakhapatnam,ODI,Right,11.1,Fast,Inswinger,Darren Sammy,1
Vishakhapatnam,ODI,Right,11.3,Fast,Inswinger,Darren Sammy,4
Vishakhapatnam,ODI,Right,11.4,Fast,Outswinger,Darren Sammy,1
Vishakhapatnam,ODI,Right,12.1,Fast,Straight Seam,AD Russell,4
Vishakhapatnam,ODI,Right,12.2,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,12.3,Fast,Straight Seam,AD Russell,1
Vishakhapatnam,ODI,Right,13.3,Fast,Straight Seam,Darren Sammy,0
Vishakhapatnam,ODI,Right,13.4,Fast,Straight Seam,Darren Sammy,0
Vishakhapatnam,ODI,Right,13.6,Fast,Straight Seam,Darren Sammy,1
Vishakhapatnam,ODI,Right,14.1,Fast,Straight Seam,AD Russell,1
Vishakhapatnam,ODI,Right,14.3,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,14.4,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,14.5,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,14.6,Fast,Straight Seam,AD Russell,4
Vishakhapatnam,ODI,Right,15.2,Fast,Straight Seam,Ravi Rampaul,4
Vishakhapatnam,ODI,Right,15.3,Fast,Straight Seam,Ravi Rampaul,1
Vishakhapatnam,ODI,Right,15.6,Fast,Straight Seam,Ravi Rampaul,1
Vishakhapatnam,ODI,Right,16.1,Spin,Off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,16.2,Spin,Off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,16.4,Spin,Off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,17.1,Fast,Straight Seam,Ravi Rampaul,1
Vishakhapatnam,ODI,Right,18.1,Spin,Off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,18.2,Spin,Off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,18.3,Spin,Off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,18.4,Spin,Off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,19.1,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,19.2,Fast,Straight Seam,AD Russell,1
Vishakhapatnam,ODI,Right,19.5,Fast,Straight Seam,AD Russell,0
Vishakhapatnam,ODI,Right,19.6,Fast,Straight Seam,AD Russell,1
Vishakhapatnam,ODI,Right,20.1,Spin,Off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,20.3,Spin,Off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,20.4,Spin,Off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,20.6,Spin,Off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,21.2,Fast,Straight Seam,AD Russell,1
Vishakhapatnam,ODI,Right,23.1,Fast,Straight Seam,Darren Sammy,1
Vishakhapatnam,ODI,Right,23.4,Fast,Straight Seam,Darren Sammy,1
Vishakhapatnam,ODI,Right,23.6,Fast,Straight Seam,Darren Sammy,1
Vishakhapatnam,ODI,Right,24.1,Spin,off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,24.2,Spin,off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,24.3,Spin,off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,24.5,Spin,off Spin,MN Samuels,2
Vishakhapatnam,ODI,Right,24.6,Spin,off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,25.1,Fast,Straight Seam,KA Pollard,0
Vishakhapatnam,ODI,Right,25.2,Fast,Straight Seam,KA Pollard,1
Vishakhapatnam,ODI,Right,25.5,Fast,Straight Seam,KA Pollard,1
Vishakhapatnam,ODI,Right,26.2,Spin,Off Spin,MN Samuels,0
Vishakhapatnam,ODI,Right,26.3,Spin,Off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,26.6,Spin,Off Spin,MN Samuels,1
Vishakhapatnam,ODI,Right,27.1,Fast,Straight Seam,KA Pollard,0
Vishakhapatnam,ODI,Right,27.2,Fast,Straight Seam,KA Pollard,0
Vishakhapatnam,ODI,Right,27.3,Fast,Straight Seam,KA Pollard,2
Vishakhapatnam,ODI,Right,27.4,Fast,Straight Seam,KA Pollard,1
Vishakhapatnam,ODI,Right,27.6,Fast,Straight Seam,KA Pollard,1
Vishakhapatnam,ODI,Right,28.1,Fast,Inswinger,Kemar Roach,0
Vishakhapatnam,ODI,Right,28.2,Fast,Inswinger,Kemar Roach,0
Vishakhapatnam,ODI,Right,28.3,Fast,Straight Seam,Kemar Roach,0
Vishakhapatnam,ODI,Right,28.4,Fast,Straight Seam,Kemar Roach,1
